id,date,url,github_id,full_name,owner_name,repo_name,html_url,created_at,updated_at,size_in_kb,stars,open_issues,tags_count,contributors_count,commits_last_two_years_count,language,duration_in_days_from_created_at,duration_in_days_from_updated_at,nb_services,nb_containers
52ed1d35-46ba-41d1-95ed-b358b20393fa,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/ucan-lab/docker-laravel,262374167,ucan-lab/docker-laravel,ucan-lab,docker-laravel,https://github.com/ucan-lab/docker-laravel,2020-05-08T16:32:45Z,2021-01-27T11:33:37Z,400,360,0,0,7,30,Makefile,265,1,3,3
55dd0573-783d-4d82-bb52-4c734cd69377,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/FedorSelitsky/eventrack,97965518,FedorSelitsky/eventrack,FedorSelitsky,eventrack,https://github.com/FedorSelitsky/eventrack,2017-07-21T16:05:01Z,2019-05-05T14:15:20Z,1515,5,5,0,3,6,HTML,1287,634,5,5
27540735-c288-4d90-94a5-89178a154916,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/MassDistributionMedia/rc-ca-blinds,69316436,MassDistributionMedia/rc-ca-blinds,MassDistributionMedia,rc-ca-blinds,https://github.com/MassDistributionMedia/rc-ca-blinds,2016-09-27T03:40:00Z,2018-06-22T01:29:49Z,43413,2,7,0,113,0,JavaScript,1584,951,3,3
4788849b-1bff-48e7-959c-c9c0a5de3329,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/stencila/hub,46014081,stencila/hub,stencila,hub,https://github.com/stencila/hub,2015-11-11T22:34:03Z,2021-01-28T21:22:02Z,28130,23,92,440,13,30,Python,1904,0,11,11
e61b7c54-42c9-40b5-8ec3-16c085338ce3,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/dockerwest/compose-magento,89712448,dockerwest/compose-magento,dockerwest,compose-magento,https://github.com/dockerwest/compose-magento,2017-04-28T14:12:21Z,2020-11-22T20:23:52Z,77,2,0,0,3,10,Python,1371,67,6,6
c4b3e102-0163-40f2-aa69-327da28575b1,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/dotnet-architecture/eShopModernizing,100637423,dotnet-architecture/eShopModernizing,dotnet-architecture,eShopModernizing,https://github.com/dotnet-architecture/eShopModernizing,2017-08-17T19:19:24Z,2021-01-18T21:39:26Z,133656,706,5,0,11,30,JavaScript,1260,10,4,4
74bede50-e0bb-414a-95c4-a93d8796c928,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/sameersbn/docker-gitlab,13367154,sameersbn/docker-gitlab,sameersbn,docker-gitlab,https://github.com/sameersbn/docker-gitlab,2013-10-06T18:46:15Z,2021-01-28T15:41:31Z,5906,6662,405,471,167,30,Shell,2671,0,4,4
60a596da-1307-4c21-8c0d-af647a7e3f36,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/hcxp/hcxp,76747114,hcxp/hcxp,hcxp,hcxp,https://github.com/hcxp/hcxp,2016-12-17T21:13:39Z,2019-01-11T06:23:39Z,576,5,1,4,1,0,Ruby,1503,748,6,6
6f98e849-3138-4a2c-b37f-01d406359e1f,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/changami/froghouse-lightning-talk-docker,75157459,changami/froghouse-lightning-talk-docker,changami,froghouse-lightning-talk-docker,https://github.com/changami/froghouse-lightning-talk-docker,2016-11-30T06:15:46Z,2016-11-30T06:23:12Z,10030,0,0,0,1,0,PHP,1520,1520,3,3
b5b46c9a-af36-4c37-a2b5-95bc57f7ad9c,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/Hygieia/Hygieia,39237460,Hygieia/Hygieia,Hygieia,Hygieia,https://github.com/Hygieia/Hygieia,2015-07-17T05:55:06Z,2021-01-28T19:15:57Z,75640,3555,62,14,140,30,JavaScript,2022,0,4,4
b2d34788-f273-477c-aed0-8e624da0b8ef,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/bartTC/dpaste,1557925,bartTC/dpaste,bartTC,dpaste,https://github.com/bartTC/dpaste,2011-04-01T23:48:56Z,2021-01-28T12:16:37Z,1982,304,3,21,22,30,Python,3589,0,3,3
1ffbff4a-9d03-4e6c-bd7d-56e209e7c18d,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/znly/docker-druid,62329091,znly/docker-druid,znly,docker-druid,https://github.com/znly/docker-druid,2016-06-30T17:14:06Z,2020-09-21T11:00:24Z,13,25,4,0,2,0,Shell,1673,129,7,7
d7e381e0-a39b-4d0d-8245-7855af2e16ac,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/benjefferies/gogo-garage-opener,46377699,benjefferies/gogo-garage-opener,benjefferies,gogo-garage-opener,https://github.com/benjefferies/gogo-garage-opener,2015-11-17T21:50:30Z,2020-12-11T12:59:49Z,16161,35,7,2,3,30,Go,1899,48,3,3
dd708d21-0dcb-46b1-9b91-724cdb92757f,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/Merrick28/delain,76180391,Merrick28/delain,Merrick28,delain,https://github.com/Merrick28/delain,2016-12-11T14:46:57Z,2021-01-28T15:54:49Z,48501,8,0,2,7,30,PLpgSQL,1509,0,2,2
f294a124-2342-4eb0-b04f-a06d99b4cb9c,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/Djacket/djacket,52085304,Djacket/djacket,Djacket,djacket,https://github.com/Djacket/djacket,2016-02-19T12:09:09Z,2020-12-25T14:28:09Z,352,60,4,5,1,0,Python,1805,34,3,3
003fbaba-0aa0-4cd7-9c93-c07eb0c4eedb,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/p6spy/p6spy,1204125,p6spy/p6spy,p6spy,p6spy,https://github.com/p6spy/p6spy,2010-12-28T21:35:51Z,2021-01-28T16:23:07Z,59661,1363,16,35,27,30,Java,3684,0,5,5
fffe01d2-51f0-47b9-8549-e021dae87dee,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/memodir/cv,108063244,memodir/cv,memodir,cv,https://github.com/memodir/cv,2017-10-24T01:50:07Z,2018-10-29T02:41:39Z,2723,0,0,0,2,0,JavaScript,1192,822,3,3
6eddcae2-8c51-4ee2-8ddb-5dbf395bedea,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/marinanierod/docker_prestashop,80509162,marinanierod/docker_prestashop,marinanierod,docker_prestashop,https://github.com/marinanierod/docker_prestashop,2017-01-31T10:04:18Z,2018-05-02T10:30:53Z,79,2,0,0,4,0,Shell,1458,1002,11,11
